Z30_REC_KEY	fake_instance_id	SUPPRESS_IN_OPAC	holdings_note	PERM_LOCATION	SIGNATURA
000000519_0001	000000519	0		SVKPK-BOR17
000000519_0002	000000519	0		SVKPK-HLAV
000001448_0001	000001448	0		SVKPK-BOR2
000001513_0001	000001513	0		SVKPK-BOR2
000001859_0001	000001859	0		SVKPK-BOR2
000001918_0001	000001918	0		SVKPK-BOR17
000002681_0001	000002681	0		SVKPK-BOR2
000003035_0001	000003035	0		SVKPK-BOR2
000003035_0002	000003035	0		SVKPK-CIT
000003035_0003	000003035	0		SVKPK-HLAV
000003035_0004	000003035	0		SVKPK-STOD
000003402_0001	000003404	0		SVKPK-BOR2
000003402_0002	000003404	0		SVKPK-BUSOV
000003488_0001	000003490	0		SVKPK-BOR16
000003488_0002	000003490	0		SVKPK-BOR2
000003488_0003	000003490	0		SVKPK-HLAV
000003488_0004	000003490	0		SVKPK-VZAC
000004528_0001	000004531	0		SVKPK-BOR17
000005737_0001	000005742	0		SVKPK-BOR17
000008426_0001	000008431	0		SVKPK-BOR2
000009171_0001	000009176	0		SVKH-HUD
000009171_0002	000009176	0		SVKPK-BOR17
000009348_0001	000009353	0		SVKPK-BOR16
000009348_0002	000009353	0		SVKPK-BOR2
000009516_0001	000009521	0		SVKPK-BOR17
000012700_0001	000012705	0		SVKPK-BOR2
000012987_0001	000012992	0		SVKPK-BOR2
000013445_0001	000013450	0		SVKPK-BOR17
000013445_0002	000013450	0		SVKPK-BOR2
000015484_0001	000015489	0		SVKPK-HLAV
000018926_0001	000018932	0		SVKPK-BOR2
000018926_0002	000018932	0		SVKPK-STUD
000025008_0001	000025014	0		SVKPK-BUSOV
000026730_0001	000026736	0		SVKPK-BOR17
000026730_0002	000026736	0		SVKPK-HIST
000026730_0003	000026736	0		SVKPK-SPEC
000026730_0004	000026736	0		SVKPK-STUD
000026756_0001	000026762	0		SVKPK-BOR17
000027569_0001	000027575	0		SVKPK-HLAV
000029946_0001	000029952	0		SVKPK-BOR2
000029957_0001	000029963	0		SVKPK-BOR2
000037236_0001	000037243	0		SVKPK-BOR2
000048219_0001	000048229	0		SVKPK-BOR17
000048219_0002	000048229	0		SVKPK-BOR2
000067149_0001	000067159	0		SVKH-HUD
000069798_0001	000069808	0		ROMA-ITAL
000069798_0002	000069808	0		SVKPK-BOR2
000076944_0001	000076961	0		SVKPK-BOR2
000076944_0002	000076961	0		SVKPK-CIT
000076944_0003	000076961	0		SVKPK-HLAV
000076944_0004	000076961	0		SVKPK-ODZKF
000077887_0001	000077904	0		SVKA-HLAV
000077887_0002	000077904	0		SVKPK-HLAV
000077888_0001	000077905	0		SVKA-HLAV
000077888_0002	000077905	0		SVKPK-HLAV
000078204_0001	000078221	0		SVKA-HLAV
000083499_0001	000083516	0		SVKPK-BOR2
000083499_0002	000083516	0		SVKPK-CIT
000083499_0003	000083516	0		SVKPK-HLAV
000086868_0001	000086885	0		SVKPK-BOR2
000086868_0002	000086885	0		SVKPK-STUD
000089182_0001	000089199	0		SVKPK-BOR2
000089184_0001	000089201	0		SVKPK-BOR2
000089607_0001	000089624	0		SVKA-HLAV
000090912_0001	000090929	0		SVKPK-BOR2
000090912_0002	000090929	0		SVKPK-HIST
000101556_0001	000101579	0		RAKO-RAKO
000101556_0002	000101579	0		SVKPK-BOR2
000101556_0003	000101579	0		SVKPK-HLAV
000103377_0001	000103400	0		SVKPK-BOR2
000103377_0002	000103400	0		SVKPK-HLAV
000103377_0003	000103400	0		SVKPK-REG
000137053_0001	000137117	0		SVKPK-BOR2
000137053_0002	000137117	0		SVKPK-CIT
000137053_0003	000137117	0		SVKPK-HLAV
