item_barcode	patron_barcode	pickup_servicepoint_id	request_date	request_expiration_date	comment	request_type
2631231674	263P033685	66e34279-c9d5-432e-81e2-c62b8c7ce50c	20230329T1242	20260329T235900	Migrace z Aleph.	Hold
2630920982	263P088303	66e34279-c9d5-432e-81e2-c62b8c7ce50c	20230403T1135	20260403T235900	Migrace z Aleph.	Hold
